gene1,gene2,weight,zscore,pvalue,qvalue,lfdr,prob
ABBFA_000187,ABBFA_000255,0.11555125019048376,0.11555125019048376,0.0,0.0,5.4864404638104866e-297,1.0
ABBFA_000187,ABBFA_000397,0.1315512232862436,0.1315512232862436,0.0,0.0,0.0,1.0
ABBFA_000187,ABBFA_000509,0.10807401048207166,0.10807401048207166,0.0,0.0,2.950102807388804e-260,1.0
ABBFA_000187,ABBFA_000623,0.10025454765630817,0.10025454765630817,0.0,0.0,1.9609460158632257e-224,1.0
ABBFA_000189,ABBFA_000752,0.11600504825883046,0.11600504825883046,0.0,0.0,2.7051368007946555e-299,1.0
ABBFA_000194,ABBFA_000320,0.12257948012239142,0.12257948012239142,0.0,0.0,0.0,1.0
ABBFA_000194,ABBFA_000369,0.13473660904150545,0.13473660904150545,0.0,0.0,0.0,1.0
ABBFA_000194,ABBFA_000594,0.1242471945956979,0.1242471945956979,0.0,0.0,0.0,1.0
ABBFA_000194,ABBFA_000672,0.1117413269524659,0.1117413269524659,0.0,0.0,5.718200721599936e-278,1.0
ABBFA_000194,ABBFA_000716,0.20115571345880684,0.20115571345880684,0.0,0.0,0.0,1.0
ABBFA_000194,xth,0.1049365613573404,0.1049365613573404,0.0,0.0,1.4491729547768526e-245,1.0
ABBFA_000195,ABBFA_000196,0.5607533856214613,0.5607533856214613,0.0,0.0,0.0,1.0
ABBFA_000195,ABBFA_000695,-0.11042709998639633,-0.11042709998639633,0.0,0.0,1.1253558959148118e-255,1.0
ABBFA_000196,ABBFA_000197,0.14522305514543918,0.14522305514543918,0.0,0.0,0.0,1.0
ABBFA_000196,ABBFA_000255,0.12312395479703021,0.12312395479703021,0.0,0.0,0.0,1.0
ABBFA_000198,gabT,0.7230359081245372,0.7230359081245372,0.0,0.0,0.0,1.0
ABBFA_000201,ABBFA_000261,0.11763908019981197,0.11763908019981197,0.0,0.0,1.1244887042129218e-307,1.0
ABBFA_000201,gabT,0.1442905261076897,0.1442905261076897,0.0,0.0,0.0,1.0
ABBFA_000203,ABBFA_000493,0.10713881694480203,0.10713881694480203,0.0,0.0,7.825513695143557e-256,1.0
ABBFA_000203,ABBFA_000639,0.23726563170508647,0.23726563170508647,0.0,0.0,0.0,1.0
ABBFA_000203,ABBFA_000698,0.10515440056699098,0.10515440056699098,0.0,0.0,1.4283750611087765e-246,1.0
ABBFA_000205,ABBFA_000206,0.11772845147578029,0.11772845147578029,0.0,0.0,3.883474162581947e-308,1.0
ABBFA_000205,ABBFA_000714,0.10254042685164606,0.10254042685164606,0.0,0.0,1.2421024116348135e-234,1.0
ABBFA_000205,accD,0.1141606378152296,0.1141606378152296,0.0,0.0,5.670518229519038e-290,1.0
ABBFA_000242,ABBFA_000281,0.15682061812247192,0.15682061812247192,0.0,0.0,0.0,1.0
ABBFA_000242,ABBFA_000471,0.3228318010380332,0.3228318010380332,0.0,0.0,0.0,1.0
ABBFA_000243,ABBFA_000268,0.10212306849724793,0.10212306849724793,0.0,0.0,9.398437649500872e-233,1.0
ABBFA_000252,ABBFA_000398,0.10481497865803294,0.10481497865803294,0.0,0.0,5.270615759428488e-245,1.0
ABBFA_000252,ABBFA_000532,0.1166874548677456,0.1166874548677456,0.0,0.0,8.8320860852384e-303,1.0
ABBFA_000252,ABBFA_000608,0.1636813389346795,0.1636813389346795,0.0,0.0,0.0,1.0
ABBFA_000255,ABBFA_000362,0.11927803128301359,0.11927803128301359,0.0,0.0,3.39672073e-316,1.0
ABBFA_000255,ABBFA_000426,0.12513314600761943,0.12513314600761943,0.0,0.0,0.0,1.0
ABBFA_000256,ABBFA_000342,0.10922313579206246,0.10922313579206246,0.0,0.0,9.602243277358402e-266,1.0
ABBFA_000259,ABBFA_000302,0.12572615025327508,0.12572615025327508,0.0,0.0,0.0,1.0
ABBFA_000259,ABBFA_000470,0.11413074129343202,0.11413074129343202,0.0,0.0,8.007618286532764e-290,1.0
ABBFA_000261,ABBFA_000288,0.18709315325480824,0.18709315325480824,0.0,0.0,0.0,1.0
ABBFA_000261,ABBFA_000337,0.1559733307045061,0.1559733307045061,0.0,0.0,0.0,1.0
ABBFA_000261,ABBFA_000476,0.11099449782509316,0.11099449782509316,0.0,0.0,2.5795284749404004e-274,1.0
ABBFA_000261,ABBFA_000598,0.1272830922604961,0.1272830922604961,0.0,0.0,0.0,1.0
ABBFA_000261,bfr,-0.13029735894818065,-0.13029735894818065,0.0,0.0,0.0,1.0
ABBFA_000262,ABBFA_000660,0.10734845495535653,0.10734845495535653,0.0,0.0,8.038411807014885e-257,1.0
ABBFA_000264,ABBFA_000461,0.10239533098216715,0.10239533098216715,0.0,0.0,5.600374013296092e-234,1.0
ABBFA_000266,ABBFA_000288,0.10434924032881253,0.10434924032881253,0.0,0.0,7.310252241341847e-243,1.0
ABBFA_000266,ABBFA_000474,0.10424104660960251,0.10424104660960251,0.0,0.0,2.2919430559936874e-242,1.0
ABBFA_000266,ABBFA_000614,0.1355952204217048,0.1355952204217048,0.0,0.0,0.0,1.0
ABBFA_000267,ABBFA_000353,0.11477332210051801,0.11477332210051801,0.0,0.0,4.715450176097588e-293,1.0
ABBFA_000268,ABBFA_000396,0.10782677434104053,0.10782677434104053,0.0,0.0,4.395429054584377e-259,1.0
ABBFA_000268,uraH,0.11786526600723554,0.11786526600723554,0.0,0.0,7.615552461064803e-309,1.0
ABBFA_000273,ABBFA_000502,0.10306456906640948,0.10306456906640948,0.0,0.0,5.294796585411545e-237,1.0
ABBFA_000273,ABBFA_000554,0.1018545377511315,0.1018545377511315,0.0,0.0,1.5064782326359367e-231,1.0
ABBFA_000280,ABBFA_000288,-0.10645809626135173,-0.10645809626135173,0.0,0.0,2.503193365203358e-237,1.0
ABBFA_000280,ABBFA_000667,0.10763027087155154,0.10763027087155154,0.0,0.0,3.74580886741938e-258,1.0
ABBFA_000281,ABBFA_000307,0.14731246824895383,0.14731246824895383,0.0,0.0,0.0,1.0
ABBFA_000281,ABBFA_000471,0.2792569557913516,0.2792569557913516,0.0,0.0,0.0,1.0
ABBFA_000284,ABBFA_000671,0.1018556423172383,0.1018556423172383,0.0,0.0,1.489405751044014e-231,1.0
ABBFA_000284,gltA,0.12086075212780688,0.12086075212780688,0.0,0.0,0.0,1.0
ABBFA_000288,ABBFA_000661,0.1369657237803621,0.1369657237803621,0.0,0.0,0.0,1.0
ABBFA_000289,ABBFA_000460,0.10529602757228777,0.10529602757228777,0.0,0.0,3.1587410661123e-247,1.0
ABBFA_000289,phoB,0.11221782360889773,0.11221782360889773,0.0,0.0,2.5888964766882837e-280,1.0
ABBFA_000290,ABBFA_000310,0.1326101757056223,0.1326101757056223,0.0,0.0,0.0,1.0
ABBFA_000290,ABBFA_000598,0.21075832594818467,0.21075832594818467,0.0,0.0,0.0,1.0
ABBFA_000295,ABBFA_000527,0.11558634392793656,0.11558634392793656,0.0,0.0,3.6407660780554523e-297,1.0
ABBFA_000295,ABBFA_000570,-0.10980626681959557,-0.10980626681959557,0.0,0.0,9.250387801294035e-253,1.0
ABBFA_000296,ABBFA_000297,0.4799168432326765,0.4799168432326765,0.0,0.0,0.0,1.0
ABBFA_000296,ABBFA_000298,0.191734404031948,0.191734404031948,0.0,0.0,0.0,1.0
ABBFA_000297,ABBFA_000298,0.3323601629747841,0.3323601629747841,0.0,0.0,0.0,1.0
ABBFA_000301,ABBFA_000775,0.15188362395815766,0.15188362395815766,0.0,0.0,0.0,1.0
ABBFA_000302,ABBFA_000307,0.11736843759608659,0.11736843759608659,0.0,0.0,2.7997225147840226e-306,1.0
ABBFA_000302,ABBFA_000398,0.14682200778583923,0.14682200778583923,0.0,0.0,0.0,1.0
ABBFA_000302,ABBFA_000408,-0.10370868285753024,-0.10370868285753024,0.0,0.0,5.1070482198362113e-225,1.0
ABBFA_000302,ABBFA_000470,0.1551167102696178,0.1551167102696178,0.0,0.0,0.0,1.0
ABBFA_000302,ABBFA_000502,0.10888520079950903,0.10888520079950903,0.0,0.0,4.000008327650185e-264,1.0
ABBFA_000302,ABBFA_000660,0.1603189370265974,0.1603189370265974,0.0,0.0,0.0,1.0
ABBFA_000302,ABBFA_000690,0.14138170672356135,0.14138170672356135,0.0,0.0,0.0,1.0
ABBFA_000307,ABBFA_000471,0.10479327749931037,0.10479327749931037,0.0,0.0,6.63559856166468e-245,1.0
ABBFA_000310,ABBFA_000598,0.11066102680828462,0.11066102680828462,0.0,0.0,1.0850178918487915e-272,1.0
ABBFA_000310,ABBFA_003532,0.1044178872593118,0.1044178872593118,0.0,0.0,3.53829842745481e-243,1.0
